ID,region,type.of.place.of.residence,wealth.index.combined,sex.of.household.member,age.of.household.members,highest.educational.level.attained,current.marital.status,group
5540,limpopo,rural,poorest,male,77,"no education, preschool",widowed,1
5541,limpopo,rural,richer,female,78,higher,widowed,1
5542,limpopo,rural,richer,female,54,primary,married,1
5543,mpumalanga,urban,middle,female,27,secondary,married,2
5544,mpumalanga,urban,poorer,male,27,secondary,married,4
5545,mpumalanga,urban,middle,female,26,secondary,never married,3
5546,mpumalanga,urban,middle,male,19,secondary,never married,2
5547,mpumalanga,urban,middle,male,15,secondary,never married,2
5548,mpumalanga,urban,poorest,female,41,primary,married,2
5549,mpumalanga,urban,poorer,male,32,secondary,never married,2
5550,mpumalanga,urban,poorer,male,29,secondary,never married,2
5551,mpumalanga,urban,poorer,male,25,secondary,never married,2
5552,mpumalanga,urban,poorer,male,23,secondary,never married,2
5553,mpumalanga,urban,poorer,male,16,secondary,never married,2
5554,mpumalanga,urban,poorest,male,20,secondary,never married,2
5555,limpopo,urban,richest,female,24,secondary,never married,1
5556,limpopo,urban,richest,female,26,secondary,married,3
5557,western cape,urban,richer,male,48,secondary,married,2
5558,western cape,urban,richer,female,41,secondary,married,3
5559,western cape,urban,richer,male,59,primary,never married,2
5560,western cape,urban,poorest,female,44,don't know,married,1
5561,western cape,urban,richer,female,51,higher,never married,5
5562,western cape,urban,richer,female,24,higher,never married,1
5563,western cape,urban,richer,female,30,secondary,never married,1
5564,western cape,urban,richer,female,19,secondary,never married,1
5565,gauteng,urban,middle,female,27,secondary,married,2
5566,gauteng,urban,richest,female,73,primary,married,2
5567,gauteng,urban,richest,female,31,secondary,never married,1
5568,gauteng,urban,richest,male,23,higher,never married,2
5569,gauteng,urban,richest,female,19,secondary,never married,1
5570,gauteng,urban,poorer,female,50,secondary,never married,1
5571,gauteng,urban,poorer,female,16,secondary,never married,3
5572,gauteng,urban,middle,male,25,"no education, preschool",married,2
5573,gauteng,urban,middle,female,18,primary,married,1
5574,kwazulu-natal,rural,poorest,female,76,"no education, preschool",widowed,4
5575,kwazulu-natal,rural,poorest,female,56,primary,never married,4
5576,kwazulu-natal,rural,poorest,female,26,secondary,never married,1
5577,kwazulu-natal,rural,middle,female,41,secondary,married,3
5578,kwazulu-natal,rural,middle,male,22,secondary,never married,2
5579,kwazulu-natal,rural,poorer,female,72,"no education, preschool",never married,4
5580,kwazulu-natal,rural,poorer,female,60,primary,never married,3
5581,kwazulu-natal,rural,poorer,male,60,"no education, preschool",married,2
5582,kwazulu-natal,rural,poorer,female,40,secondary,married,2
5583,kwazulu-natal,rural,poorer,female,33,secondary,married,3
5584,kwazulu-natal,rural,poorer,female,77,primary,widowed,4
5585,kwazulu-natal,rural,poorer,female,30,secondary,never married,4
5586,kwazulu-natal,rural,poorer,female,15,secondary,never married,3
5587,kwazulu-natal,rural,middle,female,61,primary,married,1
5588,kwazulu-natal,rural,middle,male,19,secondary,never married,2
5589,kwazulu-natal,rural,poorest,male,53,"no education, preschool",married,2
5590,kwazulu-natal,rural,poorest,female,48,"no education, preschool",married,4
5591,kwazulu-natal,rural,poorest,female,22,secondary,never married,1
5592,kwazulu-natal,rural,poorest,male,17,secondary,never married,1
5593,northern cape,rural,poorer,female,23,secondary,never married,2
5594,northern cape,rural,poorer,female,24,secondary,never married,4
5595,northern cape,rural,poorer,male,20,secondary,never married,2
5596,northern cape,rural,poorer,female,55,secondary,divorced/separated,1
5597,northern cape,rural,poorest,male,22,primary,never married,2
5598,northern cape,rural,poorest,male,17,secondary,never married,2
5599,northern cape,rural,middle,female,51,secondary,married,4
5600,northern cape,rural,middle,female,29,secondary,never married,1
5601,northern cape,rural,middle,male,22,higher,never married,2
5602,northern cape,rural,middle,female,48,secondary,married,1
5603,northern cape,rural,middle,female,19,secondary,never married,1
5604,northern cape,rural,middle,female,38,secondary,never married,3
5605,northern cape,rural,middle,male,38,secondary,never married,2
5606,northern cape,rural,middle,male,16,secondary,never married,2
5607,north west,rural,poorest,male,69,secondary,married,2
5608,kwazulu-natal,urban,richer,male,72,secondary,widowed,2
5609,kwazulu-natal,urban,richer,male,58,secondary,never married,4
5610,kwazulu-natal,urban,richest,male,41,secondary,married,2
5611,kwazulu-natal,urban,richest,female,37,higher,married,3
5612,kwazulu-natal,urban,middle,female,25,secondary,married,3
5613,kwazulu-natal,urban,richer,female,66,primary,widowed,5
5614,kwazulu-natal,urban,richer,female,36,secondary,never married,1
5615,kwazulu-natal,urban,richer,male,16,secondary,never married,2
5616,kwazulu-natal,urban,richest,female,34,higher,divorced/separated,1
5617,limpopo,urban,richer,female,62,higher,divorced/separated,4
5618,limpopo,urban,richest,female,48,higher,married,3
5619,limpopo,urban,richest,female,28,higher,never married,1
5620,limpopo,urban,richest,male,27,higher,never married,2
5621,limpopo,urban,richest,female,73,primary,widowed,4
5622,limpopo,urban,richer,female,21,secondary,never married,3
5623,limpopo,urban,richer,female,21,secondary,never married,2
5624,limpopo,urban,richest,male,51,higher,married,2
5625,limpopo,urban,richest,female,51,higher,married,3
5626,limpopo,urban,richest,male,16,secondary,never married,2
5627,limpopo,urban,richest,female,39,higher,never married,3
5628,limpopo,urban,richest,female,27,higher,never married,3
5629,limpopo,rural,poorest,female,46,secondary,never married,1
5630,limpopo,rural,poorest,male,19,secondary,never married,2
5631,limpopo,rural,poorer,female,80,"no education, preschool",widowed,1
5632,limpopo,rural,poorer,female,43,secondary,never married,1
5633,limpopo,rural,middle,male,24,primary,never married,2
5634,limpopo,rural,poorer,male,55,primary,married,2
5635,limpopo,rural,middle,male,49,secondary,married,5
5636,limpopo,rural,middle,female,42,secondary,married,3
5637,north west,rural,poorer,female,28,secondary,never married,1
5638,north west,rural,middle,male,33,secondary,married,2
5639,north west,rural,middle,female,35,higher,married,1
5640,north west,rural,poorer,male,24,primary,married,1
5641,north west,rural,poorer,female,24,primary,married,3
5642,north west,rural,poorer,male,27,secondary,married,2
5643,north west,rural,poorer,female,31,secondary,married,1
5644,north west,rural,middle,male,37,secondary,married,2
5645,north west,rural,middle,female,30,secondary,married,3
5646,north west,rural,middle,female,49,secondary,married,1
5647,north west,rural,middle,female,28,secondary,never married,1
5648,north west,rural,middle,male,16,secondary,never married,2
5649,north west,rural,middle,male,35,secondary,married,1
5650,north west,rural,middle,female,32,secondary,married,1
5651,north west,rural,middle,male,27,secondary,never married,1
5652,north west,rural,poorer,male,60,primary,married,3
5653,north west,rural,poorer,female,46,primary,married,1
5654,north west,rural,poorer,female,22,secondary,never married,1
5655,north west,rural,poorer,male,20,secondary,never married,1
5656,north west,rural,richer,female,43,don't know,never married,1
5657,mpumalanga,rural,poorer,female,22,secondary,never married,4
5658,mpumalanga,rural,poorer,female,18,secondary,never married,1
5659,mpumalanga,rural,middle,female,51,secondary,never married,4
5660,mpumalanga,rural,middle,female,45,secondary,never married,3
5661,mpumalanga,rural,middle,male,17,secondary,never married,2
5662,mpumalanga,rural,poorer,male,26,primary,never married,2
5663,mpumalanga,rural,middle,male,29,secondary,never married,2
5664,mpumalanga,rural,middle,male,26,secondary,never married,2
5665,mpumalanga,rural,poorer,female,58,primary,married,4
5666,mpumalanga,rural,poorest,male,29,secondary,never married,2
5667,limpopo,urban,poorer,male,34,secondary,never married,2
5668,limpopo,urban,poorer,female,39,secondary,married,1
5669,limpopo,urban,richer,male,40,secondary,married,1
5670,limpopo,urban,richer,male,24,secondary,never married,2
5671,limpopo,urban,richer,male,25,secondary,never married,2
5672,limpopo,urban,richer,female,50,primary,never married,3
5673,limpopo,urban,poorer,male,29,secondary,never married,2
5674,limpopo,rural,poorer,male,27,secondary,never married,2
5675,limpopo,rural,poorer,female,23,secondary,never married,2
5676,limpopo,rural,poorest,female,54,"no education, preschool",never married,1
5677,limpopo,rural,poorest,male,25,secondary,married,2
5678,limpopo,rural,poorest,female,21,secondary,married,1
5679,limpopo,rural,poorest,female,23,secondary,divorced/separated,1
5680,limpopo,rural,poorest,male,21,secondary,never married,2
5681,limpopo,rural,poorer,female,53,primary,divorced/separated,1
5682,limpopo,rural,middle,female,60,primary,widowed,1
5683,limpopo,rural,middle,male,23,secondary,married,2
5684,limpopo,rural,poorest,male,53,secondary,married,2
5685,limpopo,rural,poorest,female,59,secondary,married,1
5686,limpopo,rural,poorest,male,26,primary,never married,1
5687,limpopo,rural,poorest,female,69,primary,divorced/separated,1
5688,limpopo,rural,poorest,male,24,secondary,never married,2
5689,limpopo,rural,poorer,male,33,higher,married,2
5690,limpopo,rural,poorer,female,32,higher,married,2
5691,limpopo,rural,poorer,male,19,secondary,never married,2
5692,eastern cape,urban,poorest,female,37,secondary,married,3
5693,eastern cape,urban,poorest,male,38,secondary,married,1
5694,eastern cape,urban,poorest,female,19,secondary,never married,2
5695,eastern cape,urban,poorer,female,34,secondary,married,3
5696,eastern cape,urban,poorer,male,21,secondary,never married,2
5697,eastern cape,urban,poorest,male,53,primary,married,2
5698,eastern cape,urban,poorest,female,49,secondary,married,1
5699,eastern cape,urban,poorest,male,25,secondary,never married,2
5700,eastern cape,urban,poorest,male,19,secondary,never married,2
5701,eastern cape,urban,poorer,male,34,primary,married,3
5702,eastern cape,urban,poorer,female,25,secondary,married,3
5703,eastern cape,urban,poorest,male,75,"no education, preschool",married,4
5704,eastern cape,urban,poorest,female,50,primary,married,4
5705,eastern cape,urban,poorest,female,22,secondary,never married,1
5706,eastern cape,urban,poorest,female,19,primary,never married,1
5707,eastern cape,urban,poorest,male,15,primary,never married,1
5708,eastern cape,urban,poorest,male,31,primary,married,2
5709,eastern cape,urban,poorest,female,32,secondary,married,1
5710,eastern cape,urban,poorest,male,47,secondary,married,1
5711,eastern cape,urban,poorest,female,52,secondary,married,3
5712,eastern cape,urban,poorest,female,15,secondary,never married,3
5713,gauteng,urban,poorest,male,31,secondary,married,2
5714,gauteng,urban,poorest,female,24,primary,married,4
5715,gauteng,urban,poorest,female,22,secondary,never married,1
5716,gauteng,urban,poorest,male,40,secondary,married,2
5717,gauteng,urban,poorest,female,36,secondary,married,3
5718,western cape,urban,richest,female,22,secondary,never married,1
5719,kwazulu-natal,rural,poorer,female,50,primary,never married,2
5720,kwazulu-natal,rural,poorer,male,17,secondary,never married,2
5721,kwazulu-natal,rural,poorer,female,51,"no education, preschool",never married,4
5722,kwazulu-natal,rural,poorer,male,16,secondary,never married,2
5723,kwazulu-natal,rural,poorer,female,75,primary,widowed,3
5724,kwazulu-natal,rural,poorer,male,20,secondary,never married,1
5725,kwazulu-natal,rural,poorest,female,91,"no education, preschool",widowed,1
5726,kwazulu-natal,rural,poorest,male,29,primary,never married,2
5727,kwazulu-natal,rural,poorest,female,23,secondary,never married,1
5728,kwazulu-natal,rural,poorest,male,20,secondary,never married,2
5729,kwazulu-natal,rural,poorest,male,18,secondary,never married,2
5730,kwazulu-natal,rural,poorest,female,66,"no education, preschool",widowed,3
5731,kwazulu-natal,rural,poorest,male,20,secondary,never married,2
5732,kwazulu-natal,rural,poorest,female,18,secondary,never married,1
5733,kwazulu-natal,rural,poorer,male,59,secondary,married,2
5734,kwazulu-natal,rural,poorer,female,56,primary,married,4
5735,kwazulu-natal,rural,poorest,female,69,"no education, preschool",widowed,4
5736,kwazulu-natal,rural,poorest,female,48,primary,never married,4
5737,kwazulu-natal,rural,poorest,female,26,secondary,never married,1
5738,kwazulu-natal,rural,poorest,female,16,secondary,never married,1
5739,northern cape,rural,poorer,male,38,secondary,married,4
5740,northern cape,rural,poorer,female,39,primary,married,1
5741,northern cape,rural,poorest,female,23,secondary,never married,1
5742,northern cape,rural,poorer,female,66,primary,divorced/separated,4
5743,northern cape,rural,poorer,male,65,"no education, preschool",divorced/separated,4
5744,northern cape,rural,poorer,female,30,secondary,never married,2
5745,northern cape,rural,poorer,female,27,secondary,never married,3
5746,northern cape,rural,poorer,female,24,secondary,never married,1
5747,northern cape,rural,poorer,female,17,secondary,never married,1
5748,northern cape,rural,poorer,male,26,secondary,never married,2
5749,north west,rural,poorest,male,65,"no education, preschool",never married,4
5750,north west,rural,poorest,female,22,secondary,never married,1
5751,north west,rural,poorer,female,25,primary,never married,1
5752,north west,rural,poorer,male,41,"no education, preschool",never married,2
5753,north west,rural,poorer,female,87,"no education, preschool",widowed,1
5754,north west,rural,poorer,male,84,"no education, preschool",widowed,1
5755,north west,rural,poorer,male,40,"no education, preschool",married,2
5756,north west,rural,poorer,female,42,"no education, preschool",married,2
5757,north west,rural,poorer,female,21,primary,never married,1
5758,north west,rural,poorer,male,71,primary,married,1
5759,north west,rural,poorer,female,61,primary,married,1
5760,north west,rural,poorer,female,29,secondary,never married,1
5761,north west,rural,poorer,male,20,secondary,never married,2
5762,north west,urban,middle,female,24,secondary,never married,1
5763,north west,urban,middle,female,60,"no education, preschool",never married,1
5764,north west,urban,middle,male,31,secondary,married,2
5765,north west,urban,middle,female,31,secondary,married,1
5766,north west,urban,richer,male,20,secondary,never married,2
5767,north west,urban,middle,female,32,secondary,married,1
5768,north west,urban,poorer,male,55,"no education, preschool",married,2
5769,north west,urban,poorer,female,31,secondary,never married,1
5770,north west,urban,poorer,female,26,secondary,never married,3
5771,north west,urban,poorer,male,23,secondary,never married,2
5772,north west,urban,poorer,male,22,secondary,never married,2
5773,north west,urban,middle,male,54,"no education, preschool",married,2
5774,north west,urban,richer,female,38,"no education, preschool",married,1
5775,north west,urban,middle,male,32,primary,married,2
5776,north west,urban,middle,female,25,primary,married,1
5777,limpopo,rural,poorest,female,43,secondary,never married,1
5778,limpopo,rural,richer,female,41,higher,married,1
5779,limpopo,rural,poorest,male,51,secondary,never married,2
5780,limpopo,rural,poorest,female,20,secondary,never married,1
5781,limpopo,rural,poorest,female,18,secondary,never married,1
5782,limpopo,rural,poorest,female,16,secondary,never married,1
5783,free state,urban,richest,male,57,secondary,married,3
5784,free state,urban,richest,female,46,higher,married,3
5785,free state,urban,richest,female,60,secondary,widowed,1
5786,free state,urban,richest,female,66,secondary,never married,3
5787,free state,urban,richest,male,44,secondary,married,2
5788,free state,urban,richer,male,46,secondary,married,4
5789,free state,urban,richer,female,45,secondary,married,1
5790,free state,urban,richer,female,18,secondary,never married,1
5791,free state,urban,richer,male,53,secondary,never married,4
5792,free state,urban,richer,male,42,secondary,divorced/separated,3
5793,free state,urban,richest,female,50,secondary,divorced/separated,1
5794,free state,urban,richest,female,28,secondary,never married,1
5795,free state,urban,richest,female,21,secondary,never married,1
5796,free state,urban,richest,male,19,secondary,never married,2
5797,kwazulu-natal,rural,middle,female,81,primary,never married,3
5798,kwazulu-natal,rural,middle,male,16,secondary,never married,2
5799,kwazulu-natal,rural,poorer,female,32,secondary,never married,3
5800,kwazulu-natal,rural,poorer,female,21,secondary,never married,1
5801,kwazulu-natal,rural,poorer,female,54,secondary,never married,3
5802,kwazulu-natal,rural,poorer,male,46,primary,never married,4
5803,kwazulu-natal,rural,poorer,male,15,primary,never married,2
5804,kwazulu-natal,rural,poorer,female,22,secondary,never married,1
5805,north west,urban,middle,female,24,higher,never married,1
5806,north west,urban,middle,male,46,secondary,divorced/separated,2
5807,north west,urban,middle,male,36,secondary,never married,2
5808,north west,urban,poorer,male,29,secondary,never married,2
5809,north west,urban,richer,female,63,secondary,widowed,3
5810,north west,urban,richer,female,69,secondary,widowed,3
5811,north west,urban,richer,female,36,higher,never married,4
5812,north west,urban,middle,female,57,"no education, preschool",widowed,1
5813,north west,urban,middle,male,25,secondary,never married,2
5814,north west,urban,middle,female,20,secondary,never married,1
5815,north west,urban,richer,male,50,primary,married,1
5816,north west,urban,richer,female,20,secondary,never married,1
5817,north west,urban,richer,female,18,secondary,never married,1
5818,free state,urban,richer,female,55,secondary,widowed,1
5819,free state,urban,richer,female,26,secondary,never married,4
5820,free state,urban,richer,male,42,primary,married,2
5821,free state,urban,richer,female,48,secondary,married,3
5822,free state,urban,richest,male,25,secondary,never married,2
5823,free state,urban,richest,female,63,primary,widowed,4
5824,free state,urban,richest,female,33,secondary,never married,4
5825,free state,urban,richest,male,25,secondary,never married,2
5826,free state,urban,richest,female,33,secondary,never married,3
5827,free state,urban,richest,female,26,secondary,never married,3
5828,free state,urban,richest,male,23,secondary,never married,4
5829,free state,urban,richest,female,20,secondary,never married,3
5830,free state,urban,richer,male,21,secondary,never married,2
5831,free state,urban,middle,female,68,"no education, preschool",widowed,3
5832,free state,urban,middle,female,39,secondary,never married,3
5833,free state,urban,middle,female,16,primary,never married,1
5834,free state,urban,richer,female,70,primary,widowed,4
5835,western cape,urban,richest,male,49,higher,married,2
5836,western cape,urban,richest,male,46,higher,married,3
5837,western cape,urban,richest,female,71,primary,widowed,1
5838,western cape,urban,richest,male,76,secondary,divorced/separated,1
5839,western cape,urban,richest,male,58,higher,married,2
5840,kwazulu-natal,urban,richest,male,48,secondary,married,2
5841,kwazulu-natal,urban,richest,female,50,secondary,married,2
5842,kwazulu-natal,urban,richest,male,34,higher,married,3
5843,kwazulu-natal,urban,richest,female,38,higher,married,4
5844,kwazulu-natal,urban,richest,female,18,secondary,married,4
5845,eastern cape,rural,middle,male,31,secondary,married,2
5846,eastern cape,rural,middle,female,32,secondary,married,3
5847,eastern cape,rural,richest,male,58,secondary,married,2
5848,eastern cape,urban,richest,female,53,secondary,never married,3
5849,eastern cape,urban,richest,male,33,higher,never married,2
5850,eastern cape,urban,richest,female,61,higher,never married,1
5851,eastern cape,urban,richer,female,59,secondary,never married,3
5852,eastern cape,urban,richer,female,15,primary,never married,3
5853,eastern cape,urban,richer,female,42,secondary,never married,1
5854,eastern cape,urban,richest,female,58,higher,married,5
5855,eastern cape,urban,richer,male,55,secondary,married,3
5856,eastern cape,urban,richer,female,33,higher,married,3
5857,eastern cape,urban,richer,female,66,secondary,never married,4
5858,northern cape,rural,poorer,male,16,secondary,never married,2
5859,northern cape,rural,poorer,female,50,primary,widowed,1
5860,northern cape,rural,poorer,female,34,secondary,never married,1
5861,northern cape,rural,middle,male,72,primary,married,2
5862,northern cape,rural,middle,female,62,don't know,married,5
5863,northern cape,rural,middle,female,26,secondary,never married,1
5864,northern cape,rural,middle,male,20,secondary,never married,2
5865,northern cape,rural,poorer,male,63,primary,divorced/separated,2
5866,northern cape,rural,poorer,female,69,secondary,widowed,1
5867,northern cape,rural,poorer,male,24,secondary,never married,2
5868,northern cape,rural,poorer,female,19,secondary,never married,1
5869,northern cape,rural,poorer,female,16,secondary,never married,1
5870,northern cape,rural,poorest,female,40,secondary,never married,1
5871,northern cape,rural,poorest,female,21,secondary,never married,1
5872,northern cape,rural,poorest,female,15,secondary,never married,1
5873,northern cape,rural,poorest,male,33,secondary,never married,1
5874,northern cape,rural,poorest,female,66,primary,widowed,1
5875,northern cape,rural,poorer,female,29,primary,never married,1
5876,northern cape,rural,poorer,male,34,primary,never married,2
5877,northern cape,rural,poorer,female,19,secondary,never married,1
5878,north west,urban,richer,female,38,secondary,never married,1
5879,north west,urban,poorer,male,30,secondary,never married,1
5880,north west,urban,richer,male,36,higher,never married,4
5881,north west,urban,poorer,male,39,primary,married,2
5882,north west,urban,poorer,female,39,primary,married,4
5883,north west,urban,middle,male,28,secondary,never married,2
5884,north west,urban,middle,male,24,secondary,married,2
5885,north west,urban,middle,female,22,secondary,married,4
5886,north west,urban,poorer,male,62,"no education, preschool",widowed,1
5887,north west,urban,poorer,female,38,secondary,never married,1
5888,north west,urban,poorer,female,25,secondary,married,1
5889,north west,urban,richer,male,91,"no education, preschool",married,2
5890,north west,urban,richer,female,66,"no education, preschool",married,3
5891,north west,urban,richer,female,36,secondary,never married,2
5892,limpopo,rural,poorest,female,47,"no education, preschool",married,1
5893,limpopo,rural,poorer,female,32,secondary,married,1
5894,limpopo,rural,poorer,male,35,secondary,married,2
5895,limpopo,rural,poorer,female,72,"no education, preschool",widowed,1
5896,limpopo,rural,poorer,male,21,secondary,never married,2
5897,limpopo,rural,poorest,male,49,secondary,married,2
5898,limpopo,rural,poorest,female,38,secondary,married,1
5899,limpopo,rural,middle,male,62,secondary,married,2
5900,limpopo,rural,middle,female,36,secondary,never married,3
5901,limpopo,rural,poorer,female,61,primary,married,4
5902,limpopo,rural,poorer,male,15,secondary,never married,1
5903,limpopo,rural,richer,female,44,secondary,divorced/separated,3
5904,limpopo,rural,richer,male,21,secondary,never married,2
5905,limpopo,rural,poorest,female,51,"no education, preschool",never married,4
5906,limpopo,rural,poorest,female,43,secondary,married,3
5907,limpopo,rural,poorest,male,16,secondary,never married,2
5908,western cape,urban,richer,female,76,"no education, preschool",widowed,1
5909,western cape,urban,richer,male,20,secondary,never married,2
5910,western cape,urban,richer,female,61,primary,widowed,5
5911,western cape,urban,richer,female,42,primary,married,4
5912,western cape,urban,richer,male,50,primary,married,2
5913,western cape,urban,richer,male,23,secondary,never married,2
5914,western cape,urban,richer,male,17,secondary,never married,1
5915,western cape,urban,richer,male,71,primary,married,4
5916,western cape,urban,richer,female,69,"no education, preschool",married,3
5917,kwazulu-natal,urban,richer,female,35,secondary,never married,1
5918,kwazulu-natal,urban,richer,female,21,secondary,never married,1
5919,kwazulu-natal,urban,richest,female,49,higher,married,3
5920,kwazulu-natal,urban,richest,male,27,higher,never married,2
5921,kwazulu-natal,urban,richest,male,25,higher,never married,2
5922,kwazulu-natal,urban,richer,male,36,higher,never married,2
5923,kwazulu-natal,urban,richest,female,25,higher,never married,3
5924,kwazulu-natal,urban,richest,female,23,higher,never married,1
5925,kwazulu-natal,urban,richest,male,21,higher,never married,1
5926,kwazulu-natal,urban,richer,female,51,primary,married,1
5927,kwazulu-natal,urban,richer,female,23,secondary,never married,1
5928,kwazulu-natal,urban,richer,female,15,secondary,never married,1
5929,kwazulu-natal,urban,richer,male,54,secondary,married,4
5930,kwazulu-natal,urban,richest,female,19,secondary,never married,4
5931,kwazulu-natal,urban,richest,male,21,secondary,never married,2
5932,western cape,urban,richest,female,53,primary,divorced/separated,1
5933,western cape,urban,richest,female,30,higher,married,3
5934,western cape,urban,richest,male,36,secondary,married,3
5935,western cape,urban,richest,male,60,secondary,married,3
5936,western cape,urban,richest,female,62,secondary,married,4
5937,western cape,urban,richest,male,37,secondary,married,3
5938,western cape,urban,richest,female,37,higher,married,3
5939,western cape,urban,richest,female,45,primary,widowed,5
5940,western cape,urban,richest,female,25,secondary,never married,1
5941,western cape,urban,richest,female,23,secondary,never married,3
5942,western cape,urban,richest,male,17,secondary,never married,3
5943,western cape,urban,richer,female,47,secondary,married,1
5944,western cape,urban,richer,male,47,secondary,married,2
5945,western cape,urban,richest,female,52,secondary,divorced/separated,4
5946,western cape,urban,richer,male,22,secondary,never married,2
5947,limpopo,rural,poorer,male,20,secondary,never married,2
5948,limpopo,rural,poorer,female,16,secondary,never married,1
5949,limpopo,rural,poorer,male,47,higher,married,1
5950,limpopo,rural,poorer,female,45,secondary,married,1
5951,limpopo,rural,poorer,male,17,secondary,never married,1
5952,limpopo,rural,poorer,female,60,primary,widowed,3
5953,limpopo,rural,poorer,male,21,secondary,never married,2
5954,limpopo,rural,middle,female,47,secondary,widowed,1
5955,limpopo,rural,middle,male,19,secondary,never married,2
5956,limpopo,rural,middle,male,18,secondary,never married,2
5957,limpopo,rural,middle,female,16,secondary,never married,1
5958,limpopo,rural,poorest,female,42,secondary,married,1
5959,limpopo,rural,poorer,female,23,secondary,married,3
5960,limpopo,rural,poorer,female,37,secondary,never married,1
5961,kwazulu-natal,rural,middle,female,53,secondary,widowed,4
5962,kwazulu-natal,rural,middle,male,29,higher,never married,2
5963,kwazulu-natal,rural,middle,male,19,secondary,never married,2
5964,kwazulu-natal,rural,middle,female,19,secondary,never married,2
5965,kwazulu-natal,rural,poorest,male,41,"no education, preschool",divorced/separated,1
5966,kwazulu-natal,rural,poorest,female,52,"no education, preschool",married,3
5967,kwazulu-natal,rural,poorest,male,16,secondary,never married,2
5968,kwazulu-natal,rural,poorest,male,41,"no education, preschool",married,1
5969,kwazulu-natal,rural,poorest,female,26,secondary,never married,1
5970,kwazulu-natal,rural,poorest,male,37,secondary,never married,2
5971,kwazulu-natal,rural,poorer,male,32,primary,never married,1
5972,kwazulu-natal,rural,poorer,female,27,primary,never married,1
5973,kwazulu-natal,rural,poorer,female,42,primary,never married,3
5974,kwazulu-natal,rural,poorest,male,37,secondary,never married,1
5975,kwazulu-natal,rural,poorest,female,40,primary,never married,2
5976,northern cape,urban,richer,male,36,secondary,married,3
5977,northern cape,urban,richer,female,36,secondary,married,3
5978,northern cape,urban,richer,female,15,secondary,never married,1
5979,northern cape,urban,poorest,female,64,primary,never married,1
5980,northern cape,urban,richer,female,26,higher,never married,2
5981,northern cape,urban,richest,male,44,secondary,divorced/separated,3
5982,gauteng,urban,poorer,female,47,secondary,never married,4
5983,gauteng,urban,poorest,male,29,secondary,never married,2
5984,gauteng,urban,poorest,male,29,secondary,never married,1
5985,gauteng,urban,poorer,female,50,primary,divorced/separated,4
5986,gauteng,urban,middle,male,47,primary,married,2
5987,gauteng,urban,poorer,male,27,primary,divorced/separated,2
5988,gauteng,urban,poorer,male,36,secondary,married,2
5989,gauteng,urban,poorer,female,32,secondary,married,1
5990,gauteng,urban,middle,male,25,secondary,married,2
5991,gauteng,urban,middle,female,30,secondary,married,3
5992,western cape,urban,richer,male,48,secondary,married,2
5993,western cape,urban,richer,female,43,secondary,married,1
5994,western cape,urban,richest,male,64,higher,never married,3
5995,western cape,urban,richest,male,52,secondary,never married,2
5996,western cape,urban,richest,female,56,secondary,never married,4
5997,western cape,urban,richest,female,64,higher,never married,3
5998,western cape,urban,richer,male,68,secondary,married,2
5999,western cape,urban,richer,female,62,secondary,married,2
6000,western cape,urban,richest,female,39,higher,married,4
6001,western cape,urban,richest,male,17,secondary,never married,2
6002,western cape,urban,richer,female,26,higher,married,3
6003,western cape,urban,richer,female,33,secondary,never married,3
6004,western cape,urban,richer,male,53,higher,divorced/separated,2
6005,limpopo,rural,poorer,female,26,secondary,never married,2
6006,limpopo,rural,poorer,male,23,secondary,never married,2
6007,limpopo,rural,poorer,female,39,secondary,married,1
6008,limpopo,rural,poorer,female,19,secondary,never married,1
6009,limpopo,rural,middle,female,24,secondary,never married,3
6010,limpopo,rural,middle,female,21,secondary,never married,1
6011,limpopo,rural,poorer,female,68,"no education, preschool",widowed,4
6012,limpopo,rural,poorer,female,45,secondary,married,3
6013,limpopo,rural,middle,female,35,secondary,married,3
6014,limpopo,rural,middle,male,16,secondary,never married,2
6015,limpopo,rural,poorer,male,53,"no education, preschool",married,4
6016,north west,rural,poorest,female,21,secondary,never married,1
6017,north west,rural,poorest,male,31,primary,never married,2
6018,north west,rural,poorer,male,26,secondary,never married,2
6019,north west,rural,poorer,male,20,secondary,never married,2
6020,north west,rural,poorest,male,53,"no education, preschool",divorced/separated,4
6021,north west,rural,poorer,male,69,primary,married,1
6022,north west,rural,poorer,female,61,primary,married,1
6023,north west,rural,poorer,female,29,secondary,never married,1
6024,north west,rural,poorer,female,26,secondary,never married,3
6025,north west,rural,poorer,male,46,"no education, preschool",never married,1
6026,north west,rural,poorer,female,34,primary,never married,1
6027,north west,rural,poorer,female,31,primary,never married,1
6028,north west,rural,poorer,female,29,primary,never married,3
6029,north west,rural,poorest,male,44,primary,never married,1
6030,north west,rural,poorest,female,43,"no education, preschool",never married,4
6031,north west,rural,poorest,female,27,primary,never married,1
6032,north west,rural,poorest,male,19,primary,never married,2
6033,north west,rural,poorest,male,16,primary,never married,2
6034,eastern cape,urban,richest,male,48,secondary,divorced/separated,4
6035,eastern cape,urban,poorer,male,59,secondary,married,4
6036,eastern cape,urban,poorer,female,58,secondary,married,1
6037,eastern cape,urban,poorer,female,32,secondary,married,4
6038,eastern cape,urban,richest,female,66,higher,married,3
6039,eastern cape,rural,poorest,female,72,primary,widowed,3
6040,eastern cape,rural,poorest,female,37,secondary,divorced/separated,3
